subnum,group,session,tod,block,trial,targ,foil,studytime,rt,order,resp,corr
222,A,10,2,3,1,1000111111100000100110101,1100110111100000100110101,1006,654,0,<rshift>,1
222,A,10,2,3,2,0111011000100111011000010,0111011000100111010000011,1005,1635,0,<rshift>,1
222,A,10,2,3,3,0011100010100111001111000,0011100000100111101111000,1005,1333,0,<rshift>,1
222,A,10,2,3,4,1000101001111101100000011,1000101001111100100000111,1005,973,0,<rshift>,1
222,A,10,2,3,5,1101100011010000001101110,1011100011010000001101110,1006,1364,0,<rshift>,1
222,A,10,2,3,6,0011000000011110111101101,0001100000011110111101101,1006,1851,0,<rshift>,1
222,A,10,2,3,7,1000001111001001000101011,0000001111001001010101011,1006,1262,1,<lshift>,1
222,A,10,2,3,8,1010111010100001111000110,1010111010101001110000110,1005,1323,1,<lshift>,1
222,A,10,2,3,9,0100100000110010110111001,0100100000110010110101011,1006,1231,1,<lshift>,1
222,A,10,2,3,10,1010110010001010001110111,1011110010001010001100111,1005,1019,0,<rshift>,1
222,A,10,2,3,11,1001110100110110000001010,1011010100110110000001010,1005,1404,1,<lshift>,1
222,A,10,2,3,12,1001111110111000010100010,1001111110101000010101010,1004,941,1,<lshift>,1
222,A,10,2,3,13,1010101010011101011000011,1010101010111001011000011,1005,764,0,<rshift>,1
222,A,10,2,3,14,0000101001110111011010010,0001101001110111011000010,1006,1028,0,<rshift>,1
222,A,10,2,3,15,1101110100110111100100000,1101110101110101100100000,1005,1028,1,<lshift>,1
222,A,10,2,3,16,1100111101110100001001000,1100111101110000011001000,1006,900,1,<lshift>,1
222,A,10,2,3,17,1010110010000111000111011,1010100010000111001111011,1005,1139,0,<rshift>,1
222,A,10,2,3,18,0101100110001110100001011,0100110110001110100001011,1006,1399,0,<rshift>,1
222,A,10,2,3,19,0001100110011001001100011,0001100100011101001100011,1006,1587,1,<lshift>,1
222,A,10,2,3,20,1010110111000100000110110,1110110111000000000110110,1006,854,0,<rshift>,1
222,A,10,2,3,21,1110100110100001111000010,1110100110000001111010010,1006,1724,1,<lshift>,1
222,A,10,2,3,22,1111100100101001000101101,1111100100001001100101101,1004,908,0,<rshift>,1
222,A,10,2,3,23,0111010001111000101100000,1011010001111000101100000,1005,2068,1,<rshift>,0
222,A,10,2,3,24,0000000111101011100110110,0000001111101011100010110,1006,838,0,<rshift>,1
222,A,10,2,3,25,1010011100110000111010011,1010010100110000111110011,1005,1172,0,<lshift>,0
222,A,10,2,3,26,0100111100010010110001100,0100111100000110110001100,1006,1813,0,<rshift>,1
222,A,10,2,3,27,0100010010101010101110010,0100010010101010101010011,1006,869,0,<rshift>,1
222,A,10,2,3,28,0111100010110000010111101,0111100001110000010111101,1005,892,0,<rshift>,1
222,A,10,2,3,29,1010100011111010010100011,1010100001111010010101011,1005,715,1,<rshift>,0
222,A,10,2,3,30,1100001011000111110110100,1100001011010101110110100,1005,1358,1,<lshift>,1
222,A,10,2,3,31,0101010110110100100100100,0001010110110100110100100,1006,820,1,<lshift>,1
222,A,10,2,3,32,0000111100101111000011101,0010111100101110000011101,1006,781,1,<lshift>,1
222,A,10,2,3,33,1110000001011001101111010,1110000000011001101111110,1005,787,1,<lshift>,1
222,A,10,2,3,34,0001111100000010001110011,0011110100000010001110011,1006,1254,1,<lshift>,1
222,A,10,2,3,35,0000111010010110101100111,0100111010010110101100101,1006,957,1,<rshift>,0
222,A,1,1,1,1,1001101111000011000011100,1001101111000011000111000,1006,7577,0,<lshift>,0
222,A,1,1,1,2,1101000001100001111101000,1101010001000001111101000,1006,2635,1,<lshift>,1
222,A,1,1,1,3,0000111001100001111110010,0100111001100001011110010,1005,1717,1,<lshift>,1
222,A,1,1,1,4,0001110000111101100101110,0001111000101101100101110,1006,1418,1,<lshift>,1
222,A,1,1,1,5,1110010001000001101111101,1111000001000001101111101,1005,2453,1,<lshift>,1
222,A,1,1,1,6,1101001110010110001010010,0101001110010110101010010,1005,1917,0,<rshift>,1
222,A,1,1,1,7,0110001000100011111101001,0110001000101011111101000,1006,2379,1,<lshift>,1
222,A,1,1,1,8,0101011100111110000100011,0101011100111100010100011,1006,1532,1,<lshift>,1
222,A,1,1,1,9,1100111110000001010100110,1100101110000001010100111,1006,1653,0,<rshift>,1
222,A,1,1,1,10,1100001001001111000101010,1101001001001111000101000,1006,4693,1,<rshift>,0
222,A,1,1,1,11,1011110100100010000111011,1010110101100010000111011,1006,1498,0,<rshift>,1
222,A,1,1,1,12,0011011100011010110100110,0111011100011010110100010,1005,4884,0,<lshift>,0
222,A,1,1,1,13,0101010000101110110100110,0100010000101110110100111,1006,2012,0,<rshift>,1
222,A,1,1,1,14,1001001110011001000011100,1001001110011001000110100,1006,1877,0,<rshift>,1
222,A,1,1,1,15,1111000001011000101010010,1111000001011100001010010,1006,2637,0,<rshift>,1
222,A,1,1,1,16,1110110010001111010000101,1110110000011111010000101,1005,1205,0,<rshift>,1
222,A,1,1,1,17,0011010010100101111100010,0011010010100101110101010,1006,2107,0,<rshift>,1
222,A,1,1,1,18,0001111010000001001110101,1000111010000001001110101,1006,1117,0,<rshift>,1
222,A,1,1,1,19,0000110110001101000111001,0001110110001101000101001,1006,1814,0,<rshift>,1
222,A,1,1,1,20,0100101000100100010111111,0100101000101100010111101,1006,1588,0,<rshift>,1
222,A,1,1,1,21,0111101000011010101100000,0111101000001010101110000,1006,3941,0,<lshift>,0
222,A,1,1,1,22,1010001100011110011101001,1010001100011110011110001,1005,7562,1,<rshift>,0
222,A,1,1,1,23,1010101101110010001010011,1010101101100110001010011,1005,1996,1,<lshift>,1
222,A,1,1,1,24,0011110001011110110100100,0011110001011110110000101,1004,2973,1,<lshift>,1
222,A,1,1,1,25,1100101011000110001010110,1100101010001110001010110,1006,1870,1,<lshift>,1
222,A,1,1,1,26,0010100111010111111001000,0110000111010111111001000,1006,1555,1,<lshift>,1
222,A,1,1,1,27,1001101000001110001100101,1011001000001110001100101,1006,4213,1,<rshift>,0
222,A,1,1,1,28,0011110011011001000000101,0011110011011001001000001,1006,3870,1,<lshift>,1
222,A,1,1,1,29,0110101011001100000011001,0110100011001100001011001,1006,1325,0,<lshift>,0
222,A,1,1,1,30,0011010101001110011101000,0011010101001110011001001,1006,2045,0,<rshift>,1
222,A,1,1,1,31,0100000110010110011001101,0100100110010100011001101,1006,2262,1,<lshift>,1
222,A,1,1,1,32,0011000001011111011101000,0011000101011111011100000,1006,2021,1,<rshift>,0
222,A,1,1,1,33,0101101111010110001010100,0101101111010110010010100,1005,1812,0,<lshift>,0
222,A,1,1,1,34,0001011011101001111001001,0001011011101011111000001,1006,1477,0,<lshift>,0
222,A,1,1,1,35,0111110010000101101001010,0111100010000111101001010,1006,1309,0,<rshift>,1
222,A,2,2,1,1,0111001011101100001100011,0111001011101100000101011,1006,1190,1,<lshift>,1
222,A,2,2,1,2,0011100010110011101001000,1011100010010011101001000,1006,3058,0,<rshift>,1
222,A,2,2,1,3,0010111001111010001000011,0001111001111010001000011,1004,1190,0,<rshift>,1
