"Time","Temp","ECG Qual","Belt Qual","EDR Qual","Imp Qual","PWI Conf","ECG HR","EDR BR","Belt BR","Imp BR","HR consist","BR consist","Core Serial","CoreTemp","Vbat","Body Pos","Motion","SpO2","Nonin HR","HFS 1","HFS 2","HFS Therm"
"12:59:28",32.7,100,85,100,-1,81,83.1,26.9,17,-1,97,76,1778,37.43,470," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"12:59:33",32.7,100,85,100,-1,81,88,26.9,17,-1,97,76,1778,37.43,470," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"12:59:38",32.7,100,85,100,-1,81,83.1,26.9,17,-1,97,76,1778,37.43,470," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"12:59:43",32.5,100,77,100,-1,76,88.5,23.8,20.3,-1,97,69,1778,37.43,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"12:59:48",32.5,100,77,100,-1,76,86,23.8,20.3,-1,97,69,1778,37.43,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"12:59:53",32.5,100,77,100,-1,76,87.5,23.8,20.3,-1,97,69,1778,37.43,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"12:59:58",32.5,100,74,100,-1,73,89.2,24.8,17.8,-1,97,66,1778,37.43,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"13:00:03",32.5,100,74,100,-1,73,86.7,24.8,17.8,-1,97,66,1778,37.43,469," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
"13:00:08",32.5,100,74,100,-1,73,90.2,24.8,17.8,-1,97,66,1778,37.43,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"13:00:13",32.4,100,53,100,-1,65,82.1,25.6,24.9,-1,96,47,1778,37.45,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"13:00:18",32.4,100,53,100,-1,65,89.4,25.6,24.9,-1,96,47,1778,37.45,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"13:00:23",32.4,100,53,100,-1,65,78.9,25.6,24.9,-1,96,47,1778,37.45,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"13:00:28",32.4,100,80,100,-1,77,77.1,25.8,25.9,-1,95,72,1778,37.45,469," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
