"Time","Temp","ECG Qual","Belt Qual","EDR Qual","Imp Qual","PWI Conf","ECG HR","EDR BR","Belt BR","Imp BR","HR consist","BR consist","Core Serial","CoreTemp","Vbat","Body Pos","Motion","SpO2","Nonin HR","HFS 1","HFS 2","HFS Therm"
18,25.9,61,100,100,-1,86,128.8,6,6,-1,74,90,0,0,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
23,25.9,61,100,100,-1,86,162.1,6,6,-1,74,90,0,0,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
28,25.9,61,100,100,-1,86,147.1,6,6,-1,74,90,0,0,467," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
33,26,93,100,100,-1,79,186.1,20,10,-1,46,90,66,0,468," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
38,26,93,100,100,-1,79,175.6,20,10,-1,46,90,66,0,468," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
43,26,93,100,100,-1,79,158.3,20,10,-1,46,90,66,0,468," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
48,26.1,93,90,100,-1,76,188.8,35,15,-1,62,81,66,37.01,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
53,26.1,93,90,100,-1,76,166.9,35,15,-1,62,81,66,37.01,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
58,26.1,93,90,100,-1,76,104.8,35,15,-1,62,81,66,37.01,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
63,26.3,83,94,100,-1,79,105.6,45,22.9,-1,65,84,66,37,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
68,26.3,83,94,100,-1,79,76.3,45,22.9,-1,65,84,66,37,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
73,26.3,83,94,100,-1,79,86.4,45,22.9,-1,65,84,66,37,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
78,26.3,78,96,100,-1,82,105.7,46.8,22.3,-1,72,86,66,37,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
83,26.3,78,96,100,-1,82,156.4,46.8,22.3,-1,72,86,66,37,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
88,26.3,78,96,100,-1,82,167.5,46.8,22.3,-1,72,86,66,37,467," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
93,26.4,87,96,100,-1,80,195.2,47.7,21.3,-1,62,86,66,37,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
98,26.4,87,96,100,-1,80,158.3,47.7,21.3,-1,62,86,66,37,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
103,26.4,87,96,100,-1,80,172.1,47.7,21.3,-1,62,86,66,37,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
108,26.4,95,100,100,-1,81,186.5,49.7,21.7,-1,54,90,66,37,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
113,26.4,95,100,100,-1,81,127.8,49.7,21.7,-1,54,90,66,37,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
118,26.4,95,100,100,-1,81,137.8,49.7,21.7,-1,54,90,66,37,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
123,26.5,93,82,100,-1,72,122.8,50.7,18.5,-1,66,73,66,37,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
128,26.5,93,82,100,-1,72,150.9,50.7,18.5,-1,66,73,66,37,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
133,26.5,93,82,100,-1,72,91.8,50.7,18.5,-1,66,73,66,37,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
138,26.6,86,69,81,-1,64,165.1,52.5,17,-1,69,62,66,36.99,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
143,26.6,86,69,81,-1,64,127.3,52.5,17,-1,69,62,66,36.99,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
148,26.6,86,69,81,-1,64,172.7,52.5,17,-1,69,62,66,36.99,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
153,26.7,86,53,100,-1,57,161.9,49.2,22.9,-1,64,47,66,36.99,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
158,26.7,86,53,100,-1,57,176.5,49.2,22.9,-1,64,47,66,36.99,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
163,26.7,86,53,100,-1,57,164,49.2,22.9,-1,64,47,66,36.99,466," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
168,26.7,83,51,100,-1,51,160.5,47.7,26.3,-1,59,45,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
173,26.7,83,51,100,-1,51,157.7,47.7,26.3,-1,59,45,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
178,26.7,83,51,100,-1,51,178.7,47.7,26.3,-1,59,45,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
183,26.8,97,74,100,-1,65,165.6,51.6,27.9,-1,65,66,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
188,26.8,97,74,100,-1,65,122.3,51.6,27.9,-1,65,66,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
193,26.8,97,74,100,-1,65,103.5,51.6,27.9,-1,65,66,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
198,26.9,80,78,100,-1,68,120.8,50.3,29.6,-1,65,70,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
203,26.9,80,78,100,-1,68,82.3,50.3,29.6,-1,65,70,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
208,26.9,80,78,100,-1,68,96,50.3,29.6,-1,65,70,66,36.99,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
213,27,71,87,100,-1,77,93.2,42.4,24,-1,74,78,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
218,27,71,87,100,-1,77,89.3,42.4,24,-1,74,78,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
223,27,71,87,100,-1,77,99,42.4,24,-1,74,78,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
228,27,80,96,100,-1,84,123.7,34.1,20.6,-1,80,86,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
233,27,80,96,100,-1,84,179,34.1,20.6,-1,80,86,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
238,27,80,96,100,-1,84,154.3,34.1,20.6,-1,80,86,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
243,27,80,100,100,-1,83,129.5,35.8,20.2,-1,65,90,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
248,27,80,100,100,-1,83,142.4,35.8,20.2,-1,65,90,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
253,27,80,100,100,-1,83,131.1,35.8,20.2,-1,65,90,66,36.98,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
258,27.1,85,98,100,-1,81,141.8,39,23.4,-1,60,88,66,36.98,464," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
263,27.1,85,98,100,-1,81,159.5,39,23.4,-1,60,88,66,36.98,464," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
268,27.1,85,98,100,-1,81,186.4,39,23.4,-1,60,88,66,36.98,464," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
273,27.1,100,96,100,-1,80,159.5,49.4,26,-1,65,86,66,0,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
278,27.1,100,96,100,-1,80,89.8,49.4,26,-1,65,86,66,0,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
283,27.1,100,96,100,-1,80,113.1,49.4,26,-1,65,86,66,0,465," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
