"Time","Temp","ECG Qual","Belt Qual","EDR Qual","Imp Qual","PWI Conf","ECG HR","EDR BR","Belt BR","Imp BR","HR consist","BR consist","Core Serial","CoreTemp","Vbat","Body Pos","Motion","SpO2","Nonin HR","HFS 1","HFS 2","HFS Therm"
"16:22:52",31.1,100,100,60,-1,90,117.9,3,5,-1,92,90,104,37.53,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:22:57",31.1,100,100,60,-1,90,122.2,3,5,-1,92,90,104,37.53,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:02",31.1,100,100,60,-1,90,120.2,3,5,-1,92,90,104,37.53,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:07",31.3,100,80,100,-1,81,116.6,9,11,-1,66,72,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:12",31.3,100,80,100,-1,81,117.6,9,11,-1,66,72,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:17",31.3,100,80,100,-1,81,110.5,9,11,-1,66,72,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:22",31.3,100,73,100,-1,72,128.8,13,15,-1,94,65,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:27",31.3,100,73,100,-1,72,96.8,13,15,-1,94,65,104,37.53,577," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
"16:23:32",31.3,100,73,100,-1,72,109.6,13,15,-1,94,65,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:37",31.4,93,80,100,-1,76,118.8,20,21.8,-1,88,72,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:42",31.4,93,80,100,-1,76,125.9,20,21.8,-1,88,72,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:47",31.4,93,80,100,-1,76,116.9,20,21.8,-1,88,72,104,37.53,577," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:52",31.4,100,86,100,-1,80,126.9,25.8,22.7,-1,89,77,104,0,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:23:57",31.4,100,86,100,-1,80,123.5,25.8,22.7,-1,89,77,104,0,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:02",31.5,100,79,85,-1,75,123.2,25.6,21.4,-1,89,71,104,37.55,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:07",31.5,100,79,85,-1,75,133.9,25.6,21.4,-1,89,71,104,37.55,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:12",31.5,100,79,85,-1,75,110,25.6,21.4,-1,89,71,104,37.55,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:17",31.5,100,79,85,-1,75,113.5,25.6,21.4,-1,89,71,104,37.55,576," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
"16:24:22",31.5,100,72,100,-1,70,77.7,26.7,23.3,-1,89,64,104,37.55,576," UPRIGHT"," MOVING SLOWLY",0,0,-1001,-1001,0
"16:24:27",31.5,100,72,100,-1,70,100.8,26.7,23.3,-1,89,64,104,37.55,576," PRONE"," STATIONARY",0,0,-1001,-1001,0
"16:24:32",31.5,100,72,100,-1,70,106.4,26.7,23.3,-1,89,64,104,37.55,576," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:37",31.7,100,61,100,-1,63,120.4,26.6,22,-1,90,54,104,37.56,575," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:42",31.7,100,61,100,-1,63,143.1,26.6,22,-1,90,54,104,37.56,575," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:47",31.7,100,61,100,-1,63,132.5,26.6,22,-1,90,54,104,37.56,575," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
"16:24:52",31.7,100,42,100,-1,56,127.3,25,22.2,-1,92,37,104,37.56,575," PRONE"," STATIONARY",0,0,-1001,-1001,0
"16:24:57",31.7,100,42,100,-1,56,118.5,25,22.2,-1,92,37,104,37.56,575," UNKNOWN"," STATIONARY",0,0,-1001,-1001,0
"16:25:02",31.7,100,42,100,-1,56,119.4,25,22.2,-1,92,37,104,37.56,575," UPRIGHT"," STATIONARY",0,0,-1001,-1001,0
