subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
101,1,i9,100,PRESENT,4,1,-234,30,Stimuli/Probes/i9-1.png,1,1,103216,104906,1690,92,236
101,2,i294,20,PRESENT,4,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,110328,112842,2514,237,317
101,3,i264,20,ABSENT,2,3,389,-8,Stimuli/Probes/i264-3.png,1,0,117656,119339,1683,161,389
101,4,i264,20,PRESENT,4,2,26,141,Stimuli/Probes/i264-2.png,1,1,131720,134225,2505,172,143
101,5,i264,3,PRESENT,4,3,389,-8,Stimuli/Probes/i264-3.png,1,1,139751,142378,2627,161,389
101,6,i9,0,ABSENT,1,3,248,74,Stimuli/Probes/i9-3.png,1,0,146856,148362,1506,80,259
101,7,i294,0,ABSENT,1,1,-239,260,Stimuli/Probes/i294-1.png,0,1,151695,157785,6090,238,353
101,8,i9,3,PRESENT,4,3,248,74,Stimuli/Probes/i9-3.png,1,1,167943,169001,1058,80,259
101,9,i9,120,PRESENT,5,2,30,45,Stimuli/Probes/i9-2.png,1,1,175375,176257,882,104,54
101,10,i9,120,PRESENT,5,1,-234,30,Stimuli/Probes/i9-1.png,1,1,179431,180402,971,92,236
101,11,i9,0,ABSENT,1,2,30,45,Stimuli/Probes/i9-2.png,0,1,183326,184785,1459,104,54
101,12,i264,103,ABSENT,3,2,26,141,Stimuli/Probes/i264-2.png,0,1,190711,192169,1458,172,143
101,13,i9,103,PRESENT,5,3,248,74,Stimuli/Probes/i9-3.png,1,1,195351,196545,1194,80,259
101,14,i9,20,ABSENT,2,3,248,74,Stimuli/Probes/i9-3.png,0,1,199302,200224,922,80,259
101,15,i264,3,ABSENT,2,2,26,141,Stimuli/Probes/i264-2.png,0,1,203118,204073,955,172,143
101,16,i9,23,ABSENT,3,1,-234,30,Stimuli/Probes/i9-1.png,0,1,207039,207873,834,92,236
101,17,i9,103,ABSENT,3,2,30,45,Stimuli/Probes/i9-2.png,0,1,210703,211585,882,104,54
101,18,i294,3,PRESENT,4,3,310,152,Stimuli/Probes/i294-3.png,1,1,216958,219104,2146,259,345
101,19,i294,100,PRESENT,4,1,-239,260,Stimuli/Probes/i294-1.png,1,1,224046,225281,1235,238,353
101,20,i264,0,ABSENT,1,2,26,141,Stimuli/Probes/i264-2.png,0,1,230109,231256,1147,172,143
101,21,i294,3,ABSENT,2,1,-239,260,Stimuli/Probes/i294-1.png,0,1,236446,237304,858,238,353
101,22,i264,120,PRESENT,5,1,-264,103,Stimuli/Probes/i264-1.png,1,1,242766,244535,1769,155,283
101,23,i9,120,ABSENT,3,3,248,74,Stimuli/Probes/i9-3.png,0,1,248285,249424,1139,80,259
101,24,i294,103,PRESENT,5,3,310,152,Stimuli/Probes/i294-3.png,1,1,253622,255904,2282,259,345
101,25,i264,23,ABSENT,3,1,-264,103,Stimuli/Probes/i264-1.png,0,1,260525,261695,1170,155,283
101,26,i294,120,ABSENT,3,3,310,152,Stimuli/Probes/i294-3.png,0,1,265053,266479,1426,259,345
101,27,i9,0,ABSENT,1,1,-234,30,Stimuli/Probes/i9-1.png,0,1,269334,270256,922,92,236
101,28,i294,120,PRESENT,5,1,-239,260,Stimuli/Probes/i294-1.png,1,1,274398,275607,1209,238,353
101,29,i294,100,ABSENT,2,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,282301,283399,1098,237,317
101,30,i9,20,ABSENT,2,1,-234,30,Stimuli/Probes/i9-1.png,0,1,287333,288566,1233,92,236
101,31,i264,100,PRESENT,4,1,-264,103,Stimuli/Probes/i264-1.png,1,1,292300,294159,1859,155,283
101,32,i264,103,PRESENT,5,3,389,-8,Stimuli/Probes/i264-3.png,1,1,299325,300503,1178,161,389
101,33,i264,0,ABSENT,1,1,-264,103,Stimuli/Probes/i264-1.png,0,1,359437,360270,833,155,283
101,34,i264,120,PRESENT,5,2,26,141,Stimuli/Probes/i264-2.png,1,1,363564,364702,1138,172,143
101,35,i264,0,ABSENT,1,3,389,-8,Stimuli/Probes/i264-3.png,0,1,368876,369765,889,161,389
101,36,i294,23,ABSENT,3,1,-239,260,Stimuli/Probes/i294-1.png,0,1,372819,374917,2098,238,353
101,37,i294,23,PRESENT,5,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,378099,379238,1139,237,317
101,38,i294,20,ABSENT,2,3,310,152,Stimuli/Probes/i294-3.png,0,1,383052,384046,994,259,345
101,39,i264,20,ABSENT,2,1,-264,103,Stimuli/Probes/i264-1.png,0,1,387363,388302,939,155,283
101,40,i9,20,PRESENT,4,2,30,45,Stimuli/Probes/i9-2.png,1,1,391715,392637,922,104,54
