subject,cult,dare,fate,guess,hint,mood,oath,plea,rush,verb,zeal,time
s02,1,1,0,1,0,0,0,1,1,0,1,4.886719
s02,1,1,0,0,0,1,1,0,0,0,0,2.738281
s02,0,0,1,0,1,1,1,1,0,1,0,4.179688
s02,1,0,0,1,0,0,1,1,0,0,1,3.628906
s02,0,0,0,1,0,0,0,0,0,1,1,2.359375
s02,0,0,0,0,1,0,0,0,1,1,0,2.472656
s02,0,1,1,0,0,0,0,0,0,1,0,2.480469
s02,0,0,0,1,0,1,0,0,0,0,1,2.691406
s02,0,1,0,0,1,0,0,1,1,0,0,2.578125
s02,0,0,0,0,0,1,1,0,1,0,0,2.410156
s02,0,0,1,0,1,1,0,0,0,0,0,2.308594
s02,0,1,1,0,0,0,0,0,1,1,1,3.679688
s02,1,1,0,0,0,1,0,1,0,0,0,2.582031
s02,0,0,1,0,1,0,1,1,1,1,0,4.070313
s02,1,1,1,1,1,0,0,1,0,0,0,3.949219
s02,1,1,1,1,0,0,1,0,0,0,1,5.550781
s02,0,0,1,0,0,1,1,0,0,0,1,3.179688
s02,0,0,0,0,0,1,1,0,1,1,0,3.019531
s02,1,0,1,1,1,0,0,1,0,0,1,4.78125
s02,1,0,0,0,1,1,0,0,1,1,0,3.570313
s02,1,1,0,0,0,0,1,0,1,0,0,2.960938
s02,1,0,0,1,0,0,0,1,1,1,0,3.738281
s02,0,0,1,0,1,1,1,0,0,1,0,3.460938
s02,1,1,0,1,0,0,0,0,1,0,1,4.007813
s02,1,0,1,1,1,1,0,1,0,0,0,6.210938
s02,1,0,0,0,0,0,1,0,0,1,0,2.519531
s02,0,1,1,0,1,0,0,1,1,0,0,3.289063
s08,0,0,1,1,0,1,0,0,1,1,1,6.539063
s08,1,1,0,0,0,0,1,1,0,1,1,6.757813
s08,1,0,1,1,0,0,0,0,0,0,0,3.625
s08,0,0,0,0,1,1,0,0,1,1,0,5
s08,0,0,0,1,1,0,0,1,0,0,0,3.085938
s08,0,1,0,0,0,0,1,1,0,0,1,4.117188
s08,1,0,1,1,1,1,0,0,0,1,0,6.867188
s08,0,0,0,0,1,0,0,0,1,0,1,3.632813
s08,0,1,1,0,0,0,0,1,1,0,0,5.445313
s08,1,0,0,1,0,0,1,0,1,0,0,4.828125
s08,0,0,1,0,1,1,0,1,0,1,1,8.835938
s08,1,1,0,0,0,0,1,1,0,0,0,3.625
s08,0,0,1,1,1,0,0,0,0,0,0,3.523438
s08,0,1,0,1,0,1,1,0,1,1,0,6.96875
s08,0,1,1,0,1,1,1,1,0,0,0,7.09375
s08,1,0,0,1,0,0,0,0,0,0,1,3.195313
s08,0,1,1,0,0,1,0,0,1,1,0,5.929688
