FirstName,LastName,Affiliation,AssumedOffice,DOB,Gender,Age,YearsServed
Richard,Shelby,R,1987,1934,M,79,26
Jeff,Sessions,R,1997,1946,M,67,16
Lisa,Murkowski,R,2002,1957,F,56,11
Mark,Begich,D,2009,1962,M,51,4
John,McCain,R,1987,1936,M,77,26
Jeff,Flake,R,2013,1962,M,51,0
Mark,Pryor,D,2003,1963,M,50,10
John,Boozman,R,2011,1950,M,63,2
Dianne,Feinstein,D,1992,1933,F,80,21
Barbara,Boxer,D,1993,1940,F,73,20
Mark,Udall,D,2009,1950,M,63,4
Michael,Bennet,D,2009,1964,M,49,4
Richard,Blumenthal,D,2011,1946,M,67,2
Chris,Murphy,D,2013,1973,M,40,0
Tom,Carper,D,2001,1947,M,66,12
Chris,Coons,D,2010,1963,M,50,3
Bill,Nelson,D,2001,1942,M,71,12
Marco,Rubio,R,2011,1971,M,42,2
Saxby,Chambliss,R,2003,1943,M,70,10
Johnny,Isakson,R,2005,1944,M,69,8
Brian ,Schatz,D,2012,1972,M,41,1
Mazie,Hirono,D,2013,1947,F,66,0
Mike,Crapo,R,1999,1951,M,62,14
Jim,Risch,R,2009,1943,M,70,4
Dick,Durbin,D,1997,1944,M,69,16
Mark,Kirk,R,2010,1959,M,54,3
Dan,Coats,R,2011,1943,M,70,2
Joe,Donnelly,D,2013,1955,M,58,0
Chuck,Grassley,R,1981,1933,M,80,32
Tom,Harkin,D,1985,1939,M,74,28
Pat,Roberts,R,1997,1936,M,77,16
Jerry,Moran,R,2011,1954,M,59,2
Mitch,McConnell,R,1985,1942,M,71,28
Rand,Paul,R,2011,1963,M,50,2
Mary,Landrieu,D,1997,1955,F,58,16
David,Vitter,R,2005,1961,M,52,8
Susan,Collins,R,1997,1952,F,61,16
Angus,King,I,2013,1944,M,69,0
Barbara,Mikulski,D,1987,1936,F,77,26
Ben,Cardin,D,2007,1943,M,70,6
Elizabeth,Warren,D,2013,1949,F,64,0
Ed,Markey,D,2013,1946,M,67,0
Carl,Levin,D,1979,1934,M,79,34
Debbie,Stabenow,D,2001,1950,F,63,12
Amy,Klobuchar,DFL,2007,1960,F,53,6
Al,Franken,DFL,2009,1951,M,62,4
Thad,Cochran,R,1978,1937,M,76,35
Roger,Wicker,R,2007,1951,M,62,6
Claire,McCaskill,D,2007,1953,F,60,6
Roy,Blunt,R,2011,1950,M,63,2
Max,Baucus,D,1978,1941,M,72,35
Jon,Tester,D,2007,1956,M,57,6
Mike,Johanns,R,2009,1950,M,63,4
Deb,Fischer,R,2013,1951,F,62,0
Harry,Reid,D,1987,1939,M,74,26
Dean,Heller,R,2011,1960,M,53,2
Jeanne,Shaheen,D,2009,1947,F,66,4
Kelly,Ayotte,R,2011,1968,F,45,2
Bob,Menendez,D,2006,1954,M,59,7
Jeffrey,Chisea,R,2013,1965,M,48,0
Tom,Udall,D,2009,1948,M,65,4
Martin,Heinrich,D,2013,1971,M,42,0
Chuck,Schumer,D,1999,1950,M,63,14
Kirsten,Gillibrand,D,2009,1966,F,47,4
Richard,Burr,R,2005,1955,M,58,8
Kay,Hagan,D,2009,1953,F,60,4
John,Hoeven,R,2011,1957,M,56,2
Heidi,Heitkamp,D,2013,1955,F,58,0
Sherrod,Brown,D,2007,1952,M,61,6
Rob,Portman,R,2011,1955,M,58,2
Jim,Inhofe,R,1994,1934,M,79,19
Tom,Coburn,R,2005,1948,M,65,8
Ron,Wyden,D,1966,1949,M,64,47
Jeff,Merkley,D,2009,1956,M,57,4
Bob,Casey,D,2007,1960,M,53,6
Pat,Toomey,R,2011,1961,M,52,2
Jack,Reed,D,1997,1949,M,64,16
Sheldon,Whitehouse,D,2007,1955,M,58,6
Lindsey,Graham,R,2003,1955,M,58,10
Tim,Scott,R,2013,1965,M,48,0
Tim,Johnson,D,1997,1946,M,67,16
John ,Thune,R,2005,1961,M,52,8
Lamar,Alexander,R,2003,1940,M,73,10
Bob,Corker,R,2007,1952,M,61,6
John,Cornyn,R,2002,1952,M,61,11
Ted,Cruz,R,2013,1970,M,43,0
Orrin,Hatch,R,1977,1934,M,79,36
Mike,Lee,R,2011,1971,M,42,2
Patrick,Leahy,D,1975,1940,M,73,38
Bernie,Sanders,I,2007,1941,M,72,6
Mike,Warner,D,2009,1954,M,59,4
Tim,Kaine,D,2013,1958,M,55,0
Patty,Murray,D,1993,1950,F,63,20
Maria,Cantwell,D,2001,1958,F,55,12
Jay,Rockefeller,D,1985,1937,M,76,28
Joe,Manchin,D,2010,1947,M,66,3
Ron,Johnson,R,2011,1955,M,58,2
Tammy,Baldwin,D,2013,1962,F,51,0
Mike,Enzi,R,1997,1944,M,69,16
John,Barrasso,R,2007,1952,M,61,6
