Snowfall,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,Elnino,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Sunspots,ssOCT,ssNOV,ssDEC,ssJAN,ssFEB,ssMar,ssApr,ssMay,ssJun,ssJul,ssAug,ssSep,avgtmp,octDT,novDT,decDT,janDT,febDT,marDT,aprDT,mayDT,juneDT,julDT,augDT,sepDT,SuperiorIce,OctIce,NovIce,DecIce,JanIce,FebIce,MarIce,AprIce,MayIce,JunIce,JulIce,AugIce,SepIce
1988-1989,11.1,37.9,71.6,80.2,86.7,34.5,7.8,3.4,0,0,0,0,333.2,1988-1989,14.6,21,10.8,13.2,9.1,6.7,21,14.7,7.4,9.4,-6.3,5.7,1988-1989,156,156,231,210,208,170,166,195,284,180,232,225,1988-1989,40.4,32.8,19.1,21,11.2,20.3,36.1,52.7,57.5,68.2,65.2,56.4,1988-1989,0,0,7.4,23.7,54.5,82.3,61.5,1.4,0,0,0,0
1989-1990,0.4,34.8,108.5,50.5,31.5,6.3,10.5,3.9,0,0,0,0,246.4,1989-1990,7.3,-2,-5,-1.1,-17.3,-8.5,-0.5,13.1,1,5.5,-5,-7.6,1989-1990,212,238,211,227,171,191,189,175,153,191,252,169,1989-1990,46.5,26.8,11.7,23.2,18.8,29,41.7,48.3,60.5,65.3,65.4,57.6,1989-1990,0,0,28.7,35.4,55.4,78.1,10.8,0,0,0,0,0
1990-1991,13.4,6.7,35.6,73.3,22.3,11.7,0.9,1.9,0,0,0,0,165.8,1990-1991,1.8,-5.3,-2.4,5.1,0.6,-10.6,-12.9,-19.3,-5.5,-1.7,-7.6,-16.6,1990-1991,199,178,197,195,240,197,197,166,224,240,240,168,1990-1991,42.9,35.3,19.9,13,20.6,27.2,43.2,55.5,63.8,65.7,67.2,55.4,1990-1991,0,0,1.6,61.2,78.9,89.6,10.5,0.2,0,0,0,0
1991-1992,1,42.7,33.8,42.8,35.4,6,4.5,0,0,0,0,0,166.2,1991-1992,-12.9,-7.3,-16.7,-25.4,-9.3,-24.2,-18.7,0.5,-12.8,-6.9,1.4,0.8,1991-1992,197,159,212,198,230,151,142,94,98,114,91,94,1991-1992,40.9,27.8,21.5,19.1,21.4,24.5,35.9,53.7,57.4,59.4,60.5,53.4,1991-1992,0,0,8.9,24.1,27.8,73.3,18.6,0.8,0,0,0,0
1992-1993,8.2,13.3,42.5,59.2,22.6,10.5,3.3,0,0,0,0,0,159.6,1992-1993,-17.2,-7.3,-5.5,-8.2,-7.9,-8.5,-21.1,-8.2,-16,-10.8,-14,-7.6,1992-1993,133,129,122,81,127,102,94,78,69,80,62,31,1992-1993,42.9,30.2,21.8,17.8,15.8,25.1,35.5,49.6,57.8,65,66.6,54.9,1992-1993,0,0,5.1,13.9,76.6,77.2,22.2,1.2,0,0,0,0
1993-1994,5,22.5,37.7,83.4,14.6,15,7.1,0,0,0,0,0,185.3,1993-1994,-13.5,0.6,1.6,-1.6,0.6,-10.6,-22.8,-13,-10.4,-18,-17.2,-17.2,1993-1994,71,48,68,84,54,47,27,29,39,50,34,40,1993-1994,40.8,28.6,22.3,4.9,9.1,27.3,36.9,51.1,61.4,63.5,62.2,51.2,1993-1994,0,0,8.7,82.5,96.1,95.1,53.8,5.6,0,0,0,0
1994-1995,0.2,11,12.7,44.7,68.1,26,13.2,1,0,0,0,0,175.9,1994-1995,-14.1,-7.3,-11.6,-4,-2.7,3.5,-16.2,-9,-1.5,4.2,0.8,3.2,1994-1995,67,29,32,32,45,46,21,19,22,20,18,15,1994-1995,48.4,35.1,27.3,19.7,15.9,28.5,33.4,51.2,66.1,66.5,68.7,59,1994-1995,0,0,1.7,6.8,21.3,28.8,5.1,1.1,0,0,0,0
1995-1996,2.2,30.8,90.6,98.2,39.3,39.6,16.2,8.3,0,0,0,0,328.2,1995-1996,-1.3,1.3,-5.5,8.4,1.1,6.2,7.8,1.3,13.9,6.8,4.6,6.9,1995-1996,30,14,14,13,7,12,6,7,16,11,19,3,1995-1996,44.6,24.3,18.3,12.4,12.6,19.3,32.4,48.1,61.5,60.5,65.4,53.9,1995-1996,0,0,4,23.7,95.6,100,92.1,11.9,0,0,0,0
1996-1997,1.8,26.5,61.1,105.1,14.3,34.5,3.2,6.2,0,0,0,0,253.1,1996-1997,4.2,-0.1,7.2,4.1,13.3,-8.5,-16.2,-22.4,-24.1,-9.5,-19.8,-14.8,1996-1997,0,24,14,7,11,12,23,25,20,12,35,59,1996-1997,44.7,27.3,20.4,14.3,17.4,23,36.1,45.5,64.1,64.6,62.6,56.8,1996-1997,0,0,5.1,21.7,65.8,89,77.7,8.1,0,0,0,0
1997-1998,4.6,32.7,22.6,53.8,5.5,12.3,0,0,0,0,0,0,131.5,1997-1998,-17.8,-15.2,-9.1,-23.5,-19.2,-28.5,-24.4,0.5,9.9,14.6,9.8,11.1,1997-1998,32,50,55,44,50,82,70,74,90,96,121,132,1997-1998,43.6,29.5,27,21,30.3,28.5,44.6,56.1,60.1,66.3,67.9,57.1,1997-1998,0,0,2.3,11.1,9.3,4.1,0.9,0,0,0,0,0
